Prompt,EA-bart-base,EA-t5-base,E-bart-base,E-t5-base
generate shame: I went,I went to shame my parents for not trying when they were a teenager,"I went to the gym and ate a lot of food, but then realised that it was",I went to the gym and did not meet up with what my new girl friend requested of me,I went to the gym and got a bad mark on my test
generate shame: I went,I went to shame my parents for not trying when they did.,"I went to the gym and ate a lot of food, and then realised that my food",I went shopping after paying for items ,I went to the gym and ate too much food
generate shame: I went,I went to shame my parents for not trying when they were a drunk,I went to the gym and ate a lot of food. I was... that I didn,I went for an autumn walk in the local forest,I went to the gym and got a bad mark on my test
generate fear: I went,I went on a rollercoaster at a theme park.,I went to the emergency room and was... of being hit by a car.,I went to have a blood test,I went to the hospital 
generate fear: I went,I went into a car accident,I went to the emergency room and was... to go home.,I went into labour with my children,I went to the gym and was
generate fear: I went,I went into a car crash,I went to the emergency room and was... to get myself in the hospital.,I went to the doctors for my infection in my arm,I went to the hospital 
generate fear: I went,I went to ahorror maze aged 16,I went to the emergency room and was... of being bitten.,I went on a rollercoaster at a theme park,I went to the doctor 
generate fear: I went,I went on a rollercoaster on a lake.,I went to the gym and was... of being hit by a car.,I went into my brothers flooded basement alone in the dark,I went to the hospital 
generate disgust: I went,"I went to the library and someone sat next to me who had extremely bad personal hygiene, I",I went to the store and found a dead frog in the food.,I went to the library ,I went to the doctor 
generate disgust: I went,I went to a restaurant and found a massive bug that I couldn't identify.,I went to a restaurant to try their dishes and they were all over the place.,I went on a camel ride whilst on holiday in Tenerife ,I went to the doctor 
generate disgust: I went,I went to a restaurant and found a huge dead bug that they found at their place,I went to the store and found a dead frog in the water.,I went to the doctors ,I went to the store and found a dead frog
generate disgust: I went,I went to a restaurant and they had got rid of my favourite dish: lentil spaghetti.,I went to the grocery store and found a dead frog in the food.,I went to the petrol station to fill up my car as it was running out of fuel,I went to the doctor 
generate disgust: I went,I went for a walk in the lark with a friend and a stranger approached us and exposed,I went to the grocery store and found a dead frog in the road.,I went to the hospital ,I went to the dentist 
generate anger: I went,I went to the hospital and met a long queue to see the doctor.,"I went to a friend's house and they were rude to me for no reason, and I",I went to the hospital ,I went to the store and bought some groceries
generate anger: I went,I went to a meeting with a social worker and other people regarding my teenage daughters welfare and the,I went to the grocery store and got a lot of mail from people who didn't pay me,I went on a date and the man ignored me afterwards never speaking to me again,I went to the gym and found a dead pig in my food
generate anger: I went,I went for a walk in the lark with a friend and a stranger approached us and exposed,"I went to the store and got a free bag of beef jerky, but the man behind",I went shopping with my son as we needed some essentials ,I went to the store and bought some milk
generate anger: I went,I went for a walk in the park and someone blocked me in front of a car.,I went to the store and bought a drink that was not my own. I was... at,I went shopping to buy bread ,I went to the gym and got a bad mark on my forehead
generate anger: I went,I went to a meeting and then was told by the same coworker later that day that he,I went to work and a colleague scolded me for not doing enough homework for my,I went on a date that I wasn’t interested in ,I went to the store and bought some milk
generate sadness: I went,I went to a party without my friends because I felt alone and like they didnt care about me,I went to the hospital with my mum after a long time apart due to covid,I went to the hospital ,I went to the gym and found out my dog had died
generate sadness: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the hospital with my mum and we didn't see each other for over a year,I went to say goodbye to a really good friend ,I went to the movies with my friends 
generate sadness: I went,I went to a concert,"I went to the store and bought some milk, it was soggy and wet and I couldn'",I went through a round of IVF,I went to the movies with my friends 
generate sadness: I went,I went to a meeting with a friend that I knew my friend had like for a while.,I went to the hospital with my mum and we didn't see each other for over a week,I went to the doctors for my infection in my arm,I went to the movies with my boyfriend 
generate sadness: I went,I went to a party without my friends because I knew it would be a hard road to recovery,I went to a friend's funeral and they didn't want me to go.,I went to see a family member who is currently at home while I am at school ,I went to the movies with my friends 
generate guilt: I went,I went to a meeting with a colleague to discuss progress of the business we have with them,I went to the gym and ate a lot of food.,I went on holiday and had to leave my pets for a week even though they had a pet,I went to the gym and ate too much
generate guilt: I went,I went to a party and left my dog poop on my lawn,"I went to the gym and ate a lot of food, and then realised later that day",I went for a walk yesterday with my dog ,I went to the gym and ate a lot of food
generate guilt: I went,I went to a meeting with someone I knew my friend had like for a while.,I went to the grocery store and bought a bottle of wine instead of buying it.,I went for a walk yesterday as I did not encounter anyone or anything special on my walk,I went to the gym and ate too much food
generate guilt: I went,I went to a meeting and then left my husband alone to go home.,"I went to the gym and ate a lot of food, and then realised later that the",I went for a walk yesterday with the dog ,I went to the store and bought a bottle of wine
generate guilt: I went,I went to a meeting with a social worker and put my son into nursery,I went to the gym and found out my partner was cheating on me.,I went shopping with my son as we needed some essentials ,I went to a party with my friends 
generate joy: I saw,I saw my granddaughter for the 1st time even if I couldn't hold her,I saw my dog walking in the park with his dog and we sat down enjoying the view while,I saw my friends after a long time apart,I saw my son after a long time apart due to COVID-19
generate joy: I saw,I saw my best friend after her being away for a long time,I saw my son play in the park with his friends,I saw my favourite band in concert,I saw my son play soccer with his dad 
generate joy: I saw,I saw my daughter take her first steps across the living room all by herself.,I saw my son perform in a play.,I saw my best friend after her being away for a long time,I saw my friend's dog come home after a long time apart due to COVID-19
generate joy: I saw,I saw my cousin for the 1st time even if I couldn't hold her,I saw my son take his first steps in the world.,I saw the stage production of Mary Poppins in london,I saw my friend's dog after a long time apart due to COVID-19
generate joy: I saw,I saw my niece for the 1st time even if I couldn't hold her,I saw my dog walk in the park with his dog and we sat down enjoying the view while,I saw my girlfriend for the first ime ,I saw my friend's dog after he had been unwell for several days
generate no-emotion: I saw,I saw my neighbor walking hos dog this morning,I saw a homeless person being treated unfairly.,I saw my neighbor walking hos dog this morning,I saw a video of my son being kicked out of school
generate no-emotion: I saw,I saw my husband watching sports on our tv,I saw a homeless person who was unwell and needed immediate medical attention.,I saw my friends after a long time apart,I saw a friend who is currently at home while I am at school 
generate no-emotion: I saw,I saw my husband this morning,I saw a homeless person being treated badly,I saw my neighbour walking hos dog this morning,I saw a video of my boyfriend kissing another man
generate no-emotion: I saw,I saw my husband outside cleaning the pool.,I saw my partner for the first time in over a year due to covid,I saw my neighbor walking hos dog yesterday afternoon,I saw a video of my son playing with his friends
generate no-emotion: I saw,I saw my husband getting excited over fast jets,I saw a homeless person being treated for mental health problems.,I saw my friends on the street,I saw a video game that I was watching on Netflix
generate shame: I saw,I saw someone who looked like a whore,I saw a homeless person being cheated on.,I saw myself in thous,I saw a friend being cheated on
generate shame: I saw,I saw myself in front of other people,I saw a homeless person who was homeless snatch away their belongings from their family.,I saw myself in front of a large group of important people ,I saw a friend being bullied at school
generate shame: I saw,I saw how my sister behaved in work,I saw a homeless person who was homeless being cheated on.,I saw a clip from a documentary of baby seals being killed,I saw a friend being slammed for something they didn't do
generate shame: I saw,I saw someone who fell over when i should have helped,I saw a homeless person abuse their dog,I saw someone who used to be a very good friend who completely ignored me,I saw a friend being slammed for something I had done
generate shame: I saw,I saw someone being rude to a homeless person,I saw a homeless person being cheated on,I saw a fewbody spit inside of a shopping centre,I saw a video of my friend being cheated on
generate fear: I saw,I saw a big spider,I saw a car crash,I saw a spider in my bedroom,I saw a car crash
generate fear: I saw,I saw a big spider on my wall,I saw a robbery attack my car.,I saw a spider,I saw a homeless man being robbed in the streets of spain
generate fear: I saw,I saw a big snake,I saw a robbery incident in my local area,I saw a spider in my house when I was away,I saw a dead bird in the woods
generate fear: I saw,I saw a big spider on my bedroom floor,I saw a robbery attempt at work in the street.,I saw a spider on my wall,I saw a man snatch away his wife from his bedroom door
generate fear: I saw,I saw a big spider on my bedroom wall,I saw a robbery attack my car,I saw a spider in my house when I was aged 16,I saw a robbery at work
generate disgust: I saw,I saw someone pick their nose and eat it.,I saw a homeless person being racially abusive to their neighbours.,I saw a dog being hit,I saw a man beating up his wife out in the public
generate disgust: I saw,I saw a centipede running across my floor,I saw a homeless man being racially abusive to his wife.,I saw a dog walker abuse their pet,I saw a video in which someone sneezed at someone
generate disgust: I saw,I saw a dead pigeon being eaten by a crow,I saw a homeless person being racially abusive to another person.,I saw a dead squirrel in the road with blood around it,I saw a video in which someone smashed their window 
generate disgust: I saw,I saw a dead squirrel in the road with blood around it,I saw a homeless person being racially abusive to their family.,I saw someone pick their nose ,I saw a homeless man being racially abusive to his wife
generate disgust: I saw,I saw a man abusing his wife,I saw a homeless man pick his dog up from the street and eat it.,I saw a centipede running across my floor,I saw a homeless man being racially abusive
generate anger: I saw,I saw a man abusing his wife,I saw a homeless person being racially harassed by their family members.,I saw a bus accident deadly,I saw a friend being cheated on
generate anger: I saw,I saw a man who started a fight with me and my family,I saw a homeless person being racially abusive to their family members.,I saw a footballer spit at another one in front of me,I saw a video on social media of someone yelping at me
generate anger: I saw,I saw a man who started a fight with me and my friends,I saw a homeless person being racially abusive to their family.,I saw a member of the public verbally abuse a shop assistant,I saw a video of someone yelping at me
generate anger: I saw,I saw a man who started a fight with me and my husband,I saw a homeless person being racially harassed by their employer for no reason at,I saw a person pick their nose ,I saw a video on social media of people yelping at one another
generate anger: I saw,I saw someone who was abusing me.,"I saw someone else take their child to the hospital for treatment, even though they were supposedly taking their",I saw a footballer pick their nose ,I saw a friend being racially abusive to another member of staff
generate sadness: I saw,I saw the last time before I left for college.,I saw a friend who was struggling with addiction leave their family for college,I saw a picture of my family who is currently at home while I am at school ,I saw a video of my boyfriend kissing another man
generate sadness: I saw,I saw the final time of a previous job.,I saw my grandad die,I saw my partner for almost 1 year due to covid,I saw my girlfriend go to the bathroom with her dog 
generate sadness: I saw,I saw a friend being very unkind to me.,I saw a homeless person who had been in an abusive relationship for months leading up to the incident.,I saw my partner for almost 1 year as I was suffering mental abuse I just felt relieved ,I saw my grandad go to jail for drugging 
generate sadness: I saw,I saw the last time before I left for college,I saw a homeless person who had been in an abusive relationship for months leading up to the death of,I saw my friends on the phone to say goodbye to a long time friend,I saw my girlfriend go to the bathroom with her boyfriend 
generate sadness: I saw,I saw a friend being left out from my life,I saw a friend who was struggling with alcoholism and drug abuse abusers abuse their children,I saw my dog's face in the window waiting for me to enter the house,I saw my girlfriend go to the bathroom with her cat 
generate guilt: I saw,I saw someone I care about regarding important applications,I saw someone else get hurt in a fight,I saw a dead squirrel in the road with blood around it,I saw a friend being bullied at school
generate guilt: I saw,I saw a friend being left out from a group activity,I saw someone get drunk and spit on someone else,I saw a friend being left out from a group activity,I saw a friend being cheated on
generate guilt: I saw,I saw a friend being rude to a homeless person,I saw a homeless person who had been homeless for months and was... that I didn't,I saw a picture of my friends happy,I saw a friend being bullied at work
generate guilt: I saw,I saw my brother crying because I couldn't save him,I saw someone else take their child to the hospital for a second and then they realised it was,I saw my friends being left out from a group activity,I saw a friend being unfaithful
generate guilt: I saw,I saw someone I care about,I saw a homeless person who had been homeless for months and it made me feel... to leave,I saw a person pick their nose ,I saw a friend being bullied at school
