Prompt,EA-bart-base,EA-t5-base,A-bart-base,A-t5-base
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I saw my elderly father earlier this week because I do not often have the chance to see,When I was a kid because I didn't know what was wrong with me.,When I was given the Pfizer vaccine ,When I was able to get a job I really wanted 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family because we didn't see each other for a long time,When I was given a vaccine,When I was able to get a job I really wanted 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was on holiday with my family because I was away.,When I was at my workplace ,When I saw my son in kindergarten 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was given a certificate for my university degree because I didn't have the money for it,When I was diagnosed with Ehlers Danlos,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was on the bus and a man was very unwashed and smelt bad,When I was given a certificate for my university degree,When I was in a panic attack for the first time,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was bullied as a child and through my teen years.,When I was told I had to take a standardized test for my university degree because I didn',When I was in a panic attack,When I was denied entry to a course I wanted 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,When I was in the university during my educational days because I wasn't able to answer a specific,When I was given a certificate for employment at work because I didn't have the money for it,When I was in a domestic violent relationship when I was 16/17,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was told I had to take a break from my job because I didn't want to,When I was in a car accident,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was at my aunties and she opened a tin of corned beef. As she,When I was on holiday with my family because we didn't see each other for a long time,When I was in a lesson where the teacher was bad,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was bullied as a child and through my teen years.,When I was on holiday with my family and we sat down enjoying the view while having a,When I was in a car accident,When I was questioned 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was on the bus and a man was very unwashed and smelt bad,"When I was a kid, I felt... because I didn't know what was wrong with",When I was in a car crash,When I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,When I was offered a job that a friend had also applied for and really wanted.,When I was on holiday with my family and we sat down enjoying a relaxing meal together.,When I was in a domestic violent relationship when I was 16/17,"When I was a kid, I felt"
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: When I,"When I was trying my hardest to win a competitive video game, but my team mates weren't",When I was at work last week because I was working on a project and I didn't have,When I was gaslighted after confronting someone for hurting me,When I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to voluntarily go on a leave at work because I couldn't concentrate.,I had to go to the gym,I had to give a presentation in sixth grade ,I had to go to the store and buy some milk 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to tell my parents I wanted to go back to school and move out of their house,I had to go back to work after a long time apart due to COVID-19,I had to go into my brothers flooded basement alone in the dark,I had to go to the doctor for my ptsd 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to drive to a town 2 hours away for an appointment. I felt this way because,I had to go back to work after a long time apart due to covid,I had a panic attack for the first time ,I had to go to the store to buy some milk so I could have cereal in the morning before going
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,"I had to leave my dog in on her own for the whole day, and she looks at",I had to go to the gym today,I had to give a presentation in front my peers,I had to go to the doctor for my ptsd 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to drive to work in the morning and my boss pulled me up on the front porch,"I had to go to the gym to get some exercise, but I couldn't get out of the",I had to put my dog to sleep,I had to clean the toilet after being away for a week
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to tell my parents I wanted to go back to school and move out of their house,I had to go to the gym,I had to cancel plans ,I had to go to the doctor for an infection in my arm
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to voluntarily go on a leave at work because I couldn't concentrate.,I had to go back to work after a long time apart due to covid,I had to give a presentation in sixth grade ,I had to go to the store and buy some milk so I could have cereal in the morning before going
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,"I had to leave my dog in on her own for the whole day, and she looks at",I had to go back to work after a long time apart due to COVID-19,I had to clean clean up the dishes ,I had to go to the doctor for my ptsd 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to say goodbye to a really good friend because I was flying across the country to visit,I had to take a break from my job as I was tired.,I had to have my first ultrasound for my chronic abdominal pain ,I had to go to the store to buy some milk so I could have cereal in the morning before going
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to drive to work in the morning and my boss pulled me up on the front porch,I had to take a break from my job because I felt I had let myself down.,I had to go into my brothers flooded basement alone in the dark,I had to go to the doctor for my ptsd 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to tell my parents I wanted to go back to school and move out of their house,I had to go to the gym,I had to give a presentation in sixth grade ,I had to go to the gym and get a new pair of shoes
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to voluntarily go on a leave at work because I couldn't concentrate.,I had to go back to work after a long time apart due to covid,I had to tell my mother ,I had to go to the store and buy some milk 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,"I had to leave my dog in on her own for the whole day, and she looks at",I had to go back to work after a long time apart due to COVID-19,I had a panic attack for the first time ,I had to clean up after a long time apart due to covid
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to say goodbye to a really good friend because I was flying across the country to visit,I had to take a break from my job because I felt I had let myself down.,I had to give a presentation in front my peers,I had to clean the toilet after being away for a week
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to drive to a town 2 hours away for an appointment. I felt this way because,I had to take a break from my job as I was tired.,I had to go into corn fields,I had to go to the doctor for my ptsd 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to tell my parents I wanted to go back to school and move out of their house,I had to go to the gym,I had to cancel plans ,I had to go to the store and buy some milk
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to voluntarily go on a leave at work because I couldn't concentrate.,I had to go back to work after a long time apart due to COVID-19,I had to give a presentation in sixth grade ,I had to clean the toilet after being away for a week
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to drive to a town 2 hours away for an appointment. I felt this way because,I had to go back to work after a long time apart due to covid,I had to have my first ultrasound for my chronic abdominal pain ,I had to go to the gym and get a new pair of shoes
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I had,"I had to leave my dog in on her own for the whole day, and she looks at",I had to take a break from my job as I was tired.,I had to go into corn fields,I had to go to the store to buy some milk so I could have cereal in the morning before going
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I had,I had to say goodbye to a really good friend because I was flying across the country to visit,I had to go into the bathroom to get a new coat. I was so... I had,I had to call my parents ,I had to go to the doctor for my ptsd 
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I had,I had to give a public speech,I had to go back to work after a long time apart due to COVID-19,I had to be put under general anesthesia to have a c-section,I had a bad fall
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I had,I had a conversation about finances with my partner,I had to go into the hospital for an operation because I didn't know what was wrong with me,I had to go into my brothers flooded basement alone in the dark,I had to go into a GP appointment and the doctor said I needed an operation but I couldn
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I had,I had a health...,I had to go to the doctor for a pulmonary embolism because I didn't know,I had to give a presentation in front my peers,I had to go to the emergency room
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I had,I had to get my broken TV fixed by the supplier,I had to go to the doctor for a pulmonary embolism because I couldn't breathe,I had to have a csection for the birth of my baby,I had to go into the vets for a second opinion as I was unsure if I
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I had,I had to give my dog a bath and then go to work,I had to take a break from my job as I was sick.,I had to tell my mother ,I had to take a walk today 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I had,I had to voluntarily go on a leave at work because I couldn't concentrate.,I had to go to the gym,I had to go into my brothers flooded basement alone in the dark,I had to go to the movies this weekend 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I had,I had to tell my parents I wanted to go back to school and move out of their house,I had to go back to work after a long time apart due to COVID-19,I had to give a presentation in sixth grade ,I had a really good time last week with my family
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I had,I had to drive to work in the morning.,I had to go back to work after a long time apart due to covid,I had to be put under general anesthesia to have a c-section,I had to go to the movies this weekend 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I had,"I had to leave my dog in on her own for the whole day, and she looks at",I had to leave my dog for a week longer than planned.,I had been ignoring my mum as I felt tired,I had to go to the gym with my friends 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I had,I had to drive to a town 2 hours away for an appointment. I felt this way because,I had to take a break from my job because I felt I had let myself down.,I had been trying for 2 years ,I had a very nice chat with my friend 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I had,I had to voluntarily go on a leave at work because I couldn't concentrate.,I had to go through a blood test because I didn't know what was wrong with me.,I had to give a presentation in front my peers,I had to take a test 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I had,I had to tell my parents I wanted to go back to school and move out of their house,I had to take a test to see if I was good enough.,I had to put my dog to sleep,I had to take a test that I knew I had failed
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I had,"I had to leave my dog in on her own for the whole day, and she looks at",I had to go back to work after a long time apart due to COVID-19,I had to tell my mother ,I had to take a test 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I had,I had to say goodbye to a really good friend because I was flying across the country to visit,I had to go back to work after a long time apart due to covid,I had to go into my brothers flooded basement alone in the dark,I had to take a test 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I had,I had to drive to work in the morning and my boss pulled me up on the front porch,I had to take a break from my job because I didn't know what was wrong with me,I had to give a presentation in front of my peers,I had to go through a blood test 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I had,I had to tell my parents I wanted to go back to school and move out of their house,I had to go to the gym,I had to clean clean up the dishes ,I had to clean the toilet after a long time apart
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I had,I had to voluntarily go on a leave at work because I couldn't concentrate.,I had to go back to work after a long time apart due to COVID-19,I had to clean up puke at my old job in a nightclub,I had to go to the store
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I had,"I had to leave my dog in on her own for the whole day, and she looks at",I had to go back to work after a long time apart due to covid,I had to clean clean up puke at my old job in a nightclub,I had to go to the gym and get a new pair of shoes
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I had,I had to say goodbye to a really good friend because I was flying across the country to visit,I had to get a new car because I didn't want to drive it.,I had to leave Texas to go to college in New Haven,I had to clean the toilet after being away for a week
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I had,I had to drive to a town 2 hours away for an appointment. I felt this way because,I had to go into the bathroom to get a new coat. I was so... I had,I had to cancel plans ,I had to go to the doctor for my ptsd 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a job I wanted because I didn't have the money for it,I got to the hospital ,I got a bad mark on my test
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam which I expected it,I got a job I wanted because I had been unemployed and out of the hospital for months beforehand,I got a text message offering me a coronavirus vaccine,I got a call from my friend telling me I was going to get kicked out of the house
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad score on a test,I got a job I had wanted for months leading up to my graduation.,I got to go into my brothers flooded basement alone in the dark,I got a bad mark on my work
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a job I had wanted for months leading up to my wedding.,I got to an emergency csection for the birth of my baby,I got a call telling me I was going to get kicked out of my house
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad scrape I had when I got on a horse,I got a job I wanted because I knew that someone would want to go into the business and get,I got to my face that I had been ignoring my mum as I felt tired,I got a call from my friend telling me that my boyfriend was leaving for college 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a job I wanted because I didn't have the money for it,I got a text message offering me a coronavirus vaccine,I got a bad mark on my test
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a job I wanted because I had been unemployed and out of the hospital for months beforehand,I got a bad mark on a test i worked hard on,I got a call from my friend telling me I was going to get kicked out of the house
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad score on a test,I got a job I had wanted for months leading up to my graduation.,I got a really bad mark on a test i worked hard on,I got a call from my employer 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam which I expected it,I got a lot of compliments from my boss for something I did not do as I was ,I got in a car accident,I got a call from my friend telling me I was going to get kicked out of my house
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad score on my exam,I got a call from my friend saying I was going to go to the gym and she told me,I got in trouble for something I did,I got a call from  my employees were being unfair to other employees
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a job I wanted because I didn't have the money for it,I got a text message offering me a coronavirus vaccine,I got a bad mark on my test
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a job I wanted because I had been unemployed and out of the hospital for months beforehand,I got a much nicer mark than I originally thought,I got a bad mark on my exam
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad score on a test,I got a job I had wanted for months leading up to my graduation.,I got a really bad mark on a test i worked hard on,I got a bad mark on my exam
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad score on my exam,I got a job I wanted.,I got a 2:2 on one of my essays,I got a bad mark and was unable to get into the university 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam which I expected it,I got a job I wanted because I knew I would be able to pay it off in ,I got a new personal best max lift at the gym,I got a call from my friend telling me I was going to get kicked out
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a job I wanted because I didn't have the money for it,I got a text message offering me a coronavirus vaccine,I got a bad mark on my test
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a job I wanted because I had been unemployed and out of the hospital for months beforehand,I got a new personal best max lift at the gym,I got a bad mark on my exam
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad score on a test,I got a job I had wanted for months leading up to my graduation.,I got a much nicer mark than I originally thought,I got a call from my friend telling me I was going to get kicked out 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad score on my exam,I got a job I had wanted for months leading up to my wedding.,I got a bad mark on a test i worked hard on,I got a bad mark on my exam and had to sit in on the last day
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam which I expected it,I got a job I wanted.,I got a 2:2 on one of my essays,I got a call from my friend telling me I wasn't doing well in my job and I
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a new car and I had to take it to the dealership to pick it up.,I got to the hospital ,I got a bad mark on my test
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I got,I got a bad mark back,I got a new car and I had to take it to the dealership to pick it up. I,I got to a catastrophic error in my employment with severe consequences,I got a call from my doctor saying I needed an operation 
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I got,I got a bad mark on my exam which I expected it,I got a new car because I didn't want to drive it.,I got to a CAT scan,I got a bad mark on my exam
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I got,I got a bad mark in my exam,I got a new car because I didn't have any money at the time,I got to go into my brothers flooded basement alone in the dark,I got a call from my mum telling 
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: I got,I got a 50/50 split up with my husband.,I got a new car because I had been trying to find it for months before it finally arrived.,I got to an emergency csection for the birth of my baby,I got a call from my doctor saying my dog was infected with covid 19
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I got,I got a bad mark on my exam,I got a job I wanted because I didn't have the money for it,I got a new personal best max lift at the gym,I got a job
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I got,I got a bad mark back,I got a job I wanted because I had been unemployed and out of the hospital for months beforehand,I got a lot of money in scholarships,I got a job I really wanted
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I got,I got a bad score on my exam,I got a job I had wanted for months leading up to my graduation.,I got to go into my brothers flooded basement alone in the dark,I got a free tshirt for my birthday and I felt
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I got,I got a bad score on a test,I got a job I wanted.,I got to work this morning,I got a good mark back
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: I got,I got a 2:2 on one of my essays,I got a job I had wanted for months leading up to my wedding.,I got an unusual business contract that profited in millions of dollars,I got a free tshirt for my birthday and I felt
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I got,I got a bad mark on my exam,I got a bad grade in my university course,I got to the hospital ,I got a bad mark on my test
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I got,I got a bad mark on my exam which I expected it,I got a GCSE in Psychology,I got to my face that I had been ignoring my mum as I felt tired,I got a bad mark on my exam
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I got,I got a bad scrape I had when I got on a horse,I got a job I wanted because I didn't have the money for it,I got to an irreversible cardiac arrest,I got a bad mark on my exam and had to sit in on the last
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I got,I got a 2:2 on one of my essays,I got a bad grade in university,I got to my face that I had been unwell for a while,I got a bad mark on my exam and had to sit in on the last day
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I got,I got a bad scrape I had when I got on the bus,I got a bad grade in my university degree,I got to go into my brothers flooded basement alone in the dark,I got a bad mark on my exam and was unable to get into the university of choice
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I got,I got a bad mark on my exam,I got a job I wanted.,I got a good mark back,I got a bad mark on my work
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I got,I got a 2:2 on one of my essays,I got a job I wanted because I didn't have the money for it,I got a new personal best max lift at the gym,I got a bad mark on my test
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I got,I got a bad score on a test,I got a job I had wanted for months leading up to my graduation.,I got a girlfriend,I got a call from my friend telling me I was going to get kicked out of the house
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I got,I got a bad score on my exam,I got a job I wanted because I had been unemployed and out of the hospital for months beforehand,I got my A level results,I got a call from my girlfriend 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO Certainty: I got,I got a bad mark on my exam which I expected it,I got a job I had wanted for months leading up to my wedding.,I got a much nicer mark than I originally thought,I got a call from my friend telling me I was going to get kicked out of my house
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was sick and couldn't walk. I thought he was dead.,When my dog was bitten by a fox,When my dad was hospitalised for liver failure ,When my boyfriend told me he was leaving for college
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was hospitalised for liver failure because of his drinking problem.,When my dog got sick because I was too lazy to go out with him.,When my mother-in-law interfered in my parenting,When my brother and I went to eat a lot of food 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was sick because I couldn’t save him,When my dog ate his dog's food because it was so simple and delicious,When my mother and father don't underst,When my friend was a student at my university a
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my work colleague expressed their negative thoughts on the lgbtq community,When my dog ate his food because it was so good for him.,When my husband got in trouble for something I did,When my friend was a student at my university 
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boyfriend got me a gift,When my dog ate his dog's food because it was so good for him.,When my brother got in trouble for something I did,When my friend asked me if I was doing something wrong
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was sick because I couldn’t save him,When my dog got sick because I was too lazy to go out with him.,When my mother and father don't underst,When my friend asked me if I was working and I told him i was unemployed
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my sister was sick and threw up on her floor,When my dog was bitten by a fox,When my cat vomited on my bed,When my girlfriend asked me if I was working and I told her i was unemployed
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dog was let out and went missing for 3 days,When my dog ate his food because it was so good for him.,When my husband got in trouble for something I did,When my friend was ill 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boyfriend got me a gift,When my dog ate his dog's food because it was so simple and delicious,When my brother got in trouble for something I did,When my friend was a student at my university 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad told me his friends passed away.,When my dog ate his dog's food because it was so good for him.,When my partner and I had a discussion ,When my friend was a student at my university and I didn't know if i was
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was sick because I couldn’t save him,When my dog got sick because I was too lazy to go out with him.,When my boyfriend told me he didn't love me anymore,When my brother and I went to eat a lot of food 
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boyfriend got me a gift,When my dog ate his food because it was so good for him.,When my mother and father don't underst,When my boyfriend told me he was leaving for college
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad told me his friends passed away.,When my dog ate his food because it was a healthy food for the family.,When my partner told me his friends passed away,When my son was a kid
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my sister was sick and threw up on her floor,When my dog was bitten by a fox,When my cat vomited on my bed,When my boyfriend told me he wanted to move back in with his girlfriend
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dog was let out and went missing for 3 days,When my dog ate his dog's food because it was so simple and delicious,When my brother got in trouble for something I did,When my boyfriend wanted to go back to
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When my,When my work colleague expressed their negative thoughts on the lgbtq community,When my dog ate his food because it was so simple and delicious,When my cat vomited on my bed,When my boyfriend told me he was leaving for college
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was sick because I couldn’t save him,When my dog was eating his food because I didn't want to eat it.,When my mother and father don't underst,When my son was a kid
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When my,When my boyfriend got me a gift,When my dog was bitten by a fox,When my brother got in trouble for something I did,When my boyfriend told me he wanted to move back in with his girlfriend
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad was hospitalised for liver failure because of his drinking problem.,When my dog ate his food because it was so good for him.,When my daughter was in physical pain from her anxiety,When my friend told me I was going to break up with her 
generate NoATTE NoRESP Control NoCIRC NoPLEA NoEFFO NoCERT: When my,When my dad told me his friends passed away.,When my dog ate his food because I didn't like it,When my mother-in-law interfered in my parenting,When my friend asked me if I was doing something wrong
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When my,When my father told me his friends had been texting other woman,When my dog died because he was a dog's best friend,When my mother was diagnosed with cancer,When my dog died
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When my,When my dad was hospitalised for liver failure because of his drinking problem.,When my dog was bitten by a fox,When my mother-in-law interfered in my parenting,When my dog died because he was a close friend of mine
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When my,When my workplace announcement covid19 vaccination was mandatory,When my dog died because I couldn't see him for months afterwards.,When my father told me his friends passed away,When my cat died because he was a very close friend of mine
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When my,When my father told me his friends had just broken up with his girlfriend.,When my dog ate his food because it was so simple and delicious,When my mother told me that her husb,When my dog died because
generate NoATTE NoRESP NoCONT Circumstance NoPLEA NoEFFO NoCERT: When my,When my father told me his friends had just broken up with his sister,When my dog got sick because I didn't know if I was going to make it to the,When my mother told me that my dad had cancer,When my dog died because t I don't like them
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When my,When my dad was hospitalised for liver failure because of his drinking problem.,When my dog was bitten by a fox,When my daughter was born,When my friend told me she was coming home
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When my,When my dad was sick because I couldn’t save him,When my dog ate his food because it was so good for him.,When my son was born,When my boyfriend told me he loved me for the first time
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When my,When my dad was sick and couldn't walk. I thought he was dead.,When my dog got sick because I was too lazy to go out with him.,When my first child was born,When my friend told me she was coming home after a long time apart 
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When my,When my dad was ill and couldn't walk. I thought he was dead.,When my dog ate his dog's food because it was so simple and delicious,When my parents congratulated me on graduating high school,When my girlfriend told me she was coming home after a long time apart due to covid
generate NoATTE NoRESP NoCONT NoCIRC Pleasantness NoEFFO NoCERT: When my,When my dad told me his friends passed away.,When my dog ate his food because it was a healthy food for the family.,When my husband proposed to me,When my brother and I got to meet up for the first time after a long time apart
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: When my,When my dad was hospitalised for liver failure because of his drinking problem.,When my partner told me he was leaving for college because I didn't know where I was going,When my husband got in trouble for something I did,When my friend was claiming benefits he wasn't entitled to
